street_names,mapped_segments,mapped_length_meters,components_observed,average_delivery_score,has_traffic_data,has_parking_data,has_truck_data
"CHAMBERS STREET, RIVER TERRACE",2,350.93,1,0.35,No,Yes,No
CHRYSTIE STREET,16,1561.44,1,0.35,No,No,Yes
"CHRYSTIE STREET, MANHATTAN BRIDGE",1,1928.84,1,0.35,No,No,Yes
CLINTON STREET,18,1838.76,1,0.35,No,Yes,No
EAST HOUSTON STREET,9,659.46,1,0.35,No,No,Yes
ERICSSON PLACE,1,134.03,1,0.35,No,No,Yes
FORSYTH STREET,10,858.42,1,0.35,No,No,Yes
HENRY STREET,28,2477.24,1,0.35,No,Yes,No
KENMARE STREET,12,702.05,1,0.35,No,No,Yes
LAIGHT STREET,8,427.5,1,0.35,No,No,Yes
LEONARD STREET,5,698.91,1,0.35,No,Yes,No
LUDLOW STREET,9,937.94,1,0.35,No,Yes,No
MURRAY STREET,13,1338.52,1,0.35,No,Yes,No
"NORTH END AVENUE, VESEY STREET",2,521.2,1,0.35,No,No,Yes
NORTH MOORE STREET,5,536.97,1,0.35,No,Yes,No
PARK ROW,14,1671.3,1,0.35,No,No,Yes
"PARK ROW, FRANKFORT STREET",1,249.4,1,0.35,No,No,Yes
PIKE SLIP,2,251.26,1,0.35,No,No,Yes
READE STREET,7,710.7,1,0.35,No,Yes,No
STATE STREET,8,677.1,1,0.35,No,No,Yes
VESEY STREET,3,189.12,1,0.35,No,No,Yes
WORTH STREET,16,2023.84,1,0.35,No,No,Yes
GREENWICH STREET,24,1670.4,1,0.365,No,Yes,No
"GREENWICH STREET, CEDAR STREET",1,123.01,1,0.365,No,Yes,No
LIBERTY STREET,9,822.84,1,0.369,No,Yes,No
EAST BROADWAY,24,2299.57,1,0.372,No,Yes,No
MULBERRY STREET,8,945.4,1,0.374,No,Yes,No
"ADAMS STREET, JOHN STREET",1,151.51,1,0.38,No,Yes,No
BEEKMAN STREET,7,481.26,1,0.38,No,Yes,No
BROAD STREET,10,613.46,1,0.38,No,Yes,No
EXCHANGE PLACE,1,74.16,1,0.38,No,Yes,No
"FLATBUSH AVENUE EXTENSION, MANHATTAN BRIDGE",1,258.12,1,0.38,No,No,Yes
FULTON STREET,11,939.69,1,0.38,No,Yes,No
HANOVER SQUARE,2,132.82,1,0.38,No,Yes,No
"HANOVER SQUARE, WILLIAM STREET",1,80.52,1,0.38,No,Yes,No
HESTER STREET,10,713.24,1,0.38,No,Yes,No
HOWARD STREET,4,297.91,1,0.38,No,Yes,No
JOHN STREET,14,1175.54,1,0.38,No,Yes,No
MOTT STREET,9,957.68,1,0.38,No,Yes,No
OLD SLIP,3,264.5,1,0.38,No,Yes,No
PINE STREET,4,484.38,1,0.38,No,Yes,No
SOUTH END AVENUE,13,984.01,1,0.38,No,Yes,No
SPRING STREET,6,405.12,1,0.38,No,Yes,No
WILLIAM STREET,11,698.44,1,0.38,No,Yes,No
WARREN STREET,12,1161.86,1,0.386,No,Yes,No
"BRIDGE PLAZA COURT, NASSAU STREET",1,167.4,1,0.389,No,Yes,No
NASSAU STREET,9,655.21,1,0.389,No,Yes,No
6 AVENUE,8,483.63,1,0.39,No,Yes,No
WASHINGTON STREET,10,859.09,1,0.392,No,Yes,No
"WASHINGTON STREET, CEDAR STREET",1,149.28,1,0.392,No,Yes,No
"WASHINGTON STREET, JOSEPH P. WARD STREET",1,168.87,1,0.392,No,Yes,No
FRONT STREET,19,1515.35,1,0.405,No,Yes,No
WALL STREET,5,361.02,1,0.405,No,Yes,No
ANN STREET,3,370.91,1,0.418,No,Yes,No
MARKET STREET,5,414.33,1,0.425,No,Yes,No
SUFFOLK STREET,6,643.37,1,0.425,No,Yes,No
CEDAR STREET,3,392.09,1,0.43,No,Yes,No
WHITEHALL STREET,3,183.91,1,0.432,No,Yes,No
DUANE STREET,12,1052.38,1,0.53,No,Yes,No
1 PLACE,1,89.72,0,0.5,No,No,No
2 PLACE,4,233.56,0,0.5,No,No,No
3 PLACE,2,66.78,0,0.5,No,No,No
"3 PLACE, LITTLE WEST STREET",1,142.36,0,0.5,No,No,No
ADAMS STREET,20,1982.66,0,0.5,No,No,No
"ADAMS STREET, SANDS STREET",2,593.02,0,0.5,No,No,No
ALBANY STREET,9,698.93,0,0.5,No,No,No
ARI HALBERTAM MEMORIAL RAMP,2,385.18,0,0.5,No,No,No
ATTORNEY STREET,1,137.0,0,0.5,No,No,No
AVENUE OF THE FINEST,2,77.73,0,0.5,No,No,No
BAXTER STREET,5,531.22,0,0.5,No,No,No
"BAXTER STREET, HOGAN PLACE",1,112.56,0,0.5,No,No,No
BAYARD STREET,5,313.24,0,0.5,No,No,No
BEAVER STREET,4,452.81,0,0.5,No,No,No
BRIDGE PARK DRIVE,2,210.24,0,0.5,No,No,No
"BRIDGE PARK DRIVE, JORALEMON STREET",1,276.57,0,0.5,No,No,No
BRIDGE STREET,13,1116.52,0,0.5,No,No,No
BROOKLYN BRIDGE,3,3222.74,0,0.5,No,No,No
BROOKLYN BRIDGE BOULEVARD,3,574.94,0,0.5,No,No,No
"BROOKLYN BRIDGE BOULEVARD, BROOKLYN BRIDGE",2,492.11,0,0.5,No,No,No
BROOKLYN-QUEENS EXPRESSWAY,5,2801.63,0,0.5,No,No,No
CADMAN PLAZA EAST,4,409.01,0,0.5,No,No,No
CADMAN PLAZA WEST,17,1605.08,0,0.5,No,No,No
CARLISLE STREET,2,158.1,0,0.5,No,No,No
CATHEDRAL PLACE,1,176.6,0,0.5,No,No,No
CATHERINE SLIP,3,176.54,0,0.5,No,No,No
CATHERINE STREET,6,442.85,0,0.5,No,No,No
CENTRE MARKET PLACE,1,139.86,0,0.5,No,No,No
CHAPEL STREET,1,156.05,0,0.5,No,No,No
CHERRY STREET,10,1012.83,0,0.5,No,No,No
CLARK STREET,9,602.69,0,0.5,No,No,No
CLEVELAND PLACE,2,168.86,0,0.5,No,No,No
CLIFF STREET,1,117.89,0,0.5,No,No,No
COLLEGE PLACE,2,151.66,0,0.5,No,No,No
COLUMBIA HEIGHTS,5,463.74,0,0.5,No,No,No
CONCORD STREET,4,198.56,0,0.5,No,No,No
CORTLANDT STREET,1,117.12,0,0.5,No,No,No
COURT STREET,5,251.84,0,0.5,No,No,No
CRANBERRY STREET,3,297.2,0,0.5,No,No,No
CROSBY STREET,3,412.12,0,0.5,No,No,No
DEY STREET,1,126.82,0,0.5,No,No,No
DOCK STREET,1,79.25,0,0.5,No,No,No
DOUGHTY STREET,4,208.66,0,0.5,No,No,No
DOVER STREET,4,223.15,0,0.5,No,No,No
DUFFIELD STREET,4,384.36,0,0.5,No,No,No
DUTCH STREET,1,107.93,0,0.5,No,No,No
EDGAR STREET,2,85.05,0,0.5,No,No,No
ELDRIDGE STREET,9,970.84,0,0.5,No,No,No
ELIZABETH PLACE,2,61.04,0,0.5,No,No,No
ELIZABETH STREET,7,874.24,0,0.5,No,No,No
ELK STREET,2,140.75,0,0.5,No,No,No
ESSEX STREET,18,1874.49,0,0.5,No,No,No
EVERIT STREET,1,57.27,0,0.5,No,No,No
FDR DRIVE,8,4975.49,0,0.5,No,No,No
FLATBUSH AVENUE EXTENSION,10,653.86,0,0.5,No,No,No
FLETCHER STREET,3,244.27,0,0.5,No,No,No
FRANKFORT STREET,5,467.74,0,0.5,No,No,No
FRANKLIN STREET,7,766.28,0,0.5,No,No,No
FURMAN STREET,8,2132.01,0,0.5,No,No,No
"FURMAN STREET, OLD FULTON STREET",1,43.01,0,0.5,No,No,No
GOLD STREET,14,832.27,0,0.5,No,No,No
GOUVERNEUR LANE,1,78.53,0,0.5,No,No,No
GRACE COURT,2,391.89,0,0.5,No,No,No
GRACE COURT ALLEY,2,193.79,0,0.5,No,No,No
GREENE STREET,2,286.57,0,0.5,No,No,No
HANOVER STREET,3,135.69,0,0.5,No,No,No
HARRISON STREET,3,467.31,0,0.5,No,No,No
HICKS STREET,20,1169.7,0,0.5,No,No,No
HOGAN PLACE,1,90.49,0,0.5,No,No,No
HOLLAND TUNNEL ROTARY,3,195.65,0,0.5,No,No,No
HUBERT STREET,3,291.48,0,0.5,No,No,No
HUNTS LANE,2,239.77,0,0.5,No,No,No
JAMES STREET,1,79.16,0,0.5,No,No,No
JAY STREET,36,2632.4,0,0.5,No,No,No
JEFFERSON STREET,2,156.97,0,0.5,No,No,No
JOHNSON STREET,3,162.34,0,0.5,No,No,No
JORALEMON STREET,9,745.77,0,0.5,No,No,No
LAWRENCE STREET,2,36.9,0,0.5,No,No,No
LISPENARD STREET,2,312.74,0,0.5,No,No,No
LITTLE WEST STREET,2,183.38,0,0.5,No,No,No
LOVE LANE,2,140.48,0,0.5,No,No,No
MADISON STREET,27,2710.86,0,0.5,No,No,No
MAIN STREET,1,76.5,0,0.5,No,No,No
MARKET SLIP,4,233.63,0,0.5,No,No,No
MCKENNY STREET,1,30.1,0,0.5,No,No,No
MECHANICS ALLEY,1,81.87,0,0.5,No,No,No
MERCER STREET,3,300.56,0,0.5,No,No,No
METROTECH CENTER,6,498.91,0,0.5,No,No,No
MIDDAGH STREET,6,365.04,0,0.5,No,No,No
MONROE PLACE,1,236.38,0,0.5,No,No,No
MONROE STREET,2,368.08,0,0.5,No,No,No
MONTAGUE STREET,5,784.31,0,0.5,No,No,No
MONTAGUE TERRACE,1,79.6,0,0.5,No,No,No
MONTGOMERY STREET,14,870.4,0,0.5,No,No,No
MOORE STREET,1,67.67,0,0.5,No,No,No
MORRIS STREET,3,242.58,0,0.5,No,No,No
MOSCO STREET,1,67.4,0,0.5,No,No,No
NORFOLK STREET,7,666.82,0,0.5,No,No,No
NORTH END AVENUE,10,669.56,0,0.5,No,No,No
OLD FULTON STREET,16,780.34,0,0.5,No,No,No
OLIVER STREET,6,241.61,0,0.5,No,No,No
ORANGE STREET,3,296.49,0,0.5,No,No,No
ORCHARD STREET,10,994.6,0,0.5,No,No,No
PARK PLACE,4,535.23,0,0.5,No,No,No
PECK SLIP,6,323.45,0,0.5,No,No,No
PELL STREET,1,148.28,0,0.5,No,No,No
PETER MINUIT PLAZA,2,208.41,0,0.5,No,No,No
PIERREPONT PLACE,1,78.25,0,0.5,No,No,No
PIERREPONT STREET,8,637.28,0,0.5,No,No,No
"PIERREPONT STREET, COLUMBIA HEIGHTS",1,247.31,0,0.5,No,No,No
PINEAPPLE STREET,3,296.34,0,0.5,No,No,No
PLATT STREET,2,190.81,0,0.5,No,No,No
PLYMOUTH STREET,5,414.71,0,0.5,No,No,No
"PLYMOUTH STREET, MAIN STREET",1,161.93,0,0.5,No,No,No
POPLAR STREET,1,143.18,0,0.5,No,No,No
PRINCE STREET,2,89.46,0,0.5,No,No,No
PROSPECT STREET,11,841.45,0,0.5,No,No,No
RECTOR PLACE,2,390.78,0,0.5,No,No,No
RECTOR STREET,4,295.49,0,0.5,No,No,No
"RED CROSS PLACE, ADAMS STREET",1,252.17,0,0.5,No,No,No
REMSEN STREET,6,726.4,0,0.5,No,No,No
RIDGE STREET,2,123.6,0,0.5,No,No,No
RIVER TERRACE,4,505.11,0,0.5,No,No,No
RIVINGTON STREET,12,780.32,0,0.5,No,No,No
ROBERT F. WAGNER SR. PLACE,8,548.03,0,0.5,No,No,No
RUTGERS SLIP,1,122.82,0,0.5,No,No,No
RUTGERS STREET,9,561.03,0,0.5,No,No,No
SAINT JAMES PLACE,6,631.38,0,0.5,No,No,No
SAINT JOHN'S LANE,2,156.32,0,0.5,No,No,No
SAMUEL DICKSTEIN PLAZA,6,349.66,0,0.5,No,No,No
SANDS STREET,10,741.75,0,0.5,No,No,No
SIDNEY PLACE,1,67.75,0,0.5,No,No,No
SOUTH WILLIAM STREET,1,175.33,0,0.5,No,No,No
SPRUCE STREET,3,259.98,0,0.5,No,No,No
STANTON STREET,8,559.76,0,0.5,No,No,No
STONE STREET,1,136.84,0,0.5,No,No,No
TECH PLACE,3,314.09,0,0.5,No,No,No
THAMES STREET,2,189.43,0,0.5,No,No,No
THOMAS STREET,4,395.93,0,0.5,No,No,No
THOMPSON STREET,1,124.53,0,0.5,No,No,No
TILLARY STREET,19,1210.59,0,0.5,No,No,No
TRIMBLE PLACE,1,69.86,0,0.5,No,No,No
VESEY PLACE,1,82.59,0,0.5,No,No,No
VESTRY STREET,1,8.19,0,0.5,No,No,No
VINE STREET,1,113.9,0,0.5,No,No,No
WEST THAMES STREET,9,495.43,0,0.5,No,No,No
WHITE STREET,5,530.95,0,0.5,No,No,No
WILLOUGHBY STREET,1,76.94,0,0.5,No,No,No
WILLOW STREET,5,543.58,0,0.5,No,No,No
"WILLOW STREET, POPLAR STREET",1,128.25,0,0.5,No,No,No
WOOSTER STREET,1,148.36,0,0.5,No,No,No
YORK STREET,6,680.74,0,0.5,No,No,No
